Name,AshOnly,AshFDwPM,BDns,DWpM,PDW,WWP,BLen,BMax,BThk,SDia,SLen,Category,Group
SL19-LR-5-FG1,-3.10E-14,-3.16E-15,3.98E-14,1.50E-13,-2.70E-15,1.00E-13,2.26E-13,1.97E-14,2.87E-14,6.25E-14,6.64E-14,GP_from_Founders,GPs
SL18-FW-21-FG4,-0.0004851,0.003866968,0.002150769,0.00870917,-8.36E-05,0.036058612,0.072235023,0.015462216,0.002957544,0.026184557,0.061392602,GP_from_Founders,GPs
SL18-TI-3-FG4,-0.000218773,0.003812317,-0.00109942,0.00651505,4.14E-05,0.029058571,0.066002109,0.001927016,-0.006486644,0.015486621,0.038753654,GP_from_Founders,GPs
SL18-TI-3-FG5,-0.000218773,0.003812317,-0.00109942,0.00651505,4.14E-05,0.029058571,0.066002109,0.001927016,-0.006486644,0.015486621,0.038753654,GP_from_Founders,GPs
SL18-TI-3-FG6,-0.000218773,0.003812317,-0.00109942,0.00651505,4.14E-05,0.029058571,0.066002109,0.001927016,-0.006486644,0.015486621,0.038753654,GP_from_Founders,GPs
SL19-LR-5-FG2,-3.10E-14,-3.22E-15,3.98E-14,1.50E-13,-2.70E-15,1.00E-13,2.24E-13,1.76E-14,2.84E-14,6.14E-14,6.81E-14,GP_from_Founders,GPs
SL19-LR-2-MG2,2.44E-13,-4.83E-15,8.14E-14,1.56E-13,-5.62E-15,3.92E-13,1.95E-13,-3.67E-13,1.27E-14,1.63E-14,5.90E-14,GP_from_Founders,GPs
SL18-OD-6-FG2,-0.002672102,0.004839921,-0.001883393,0.009286328,0.001720434,0.034568043,-0.173623474,-0.073944184,0.03809452,0.044942936,0.009360935,GP_from_Founders,GPs
SL19-LR-2-FG1,2.44E-13,-4.90E-15,8.38E-14,1.56E-13,-5.61E-15,3.96E-13,1.89E-13,-3.70E-13,1.29E-14,1.74E-14,5.70E-14,GP_from_Founders,GPs
SL18-DB-6-FG1,5.70E-14,-5.54E-15,4.95E-14,-1.47E-13,-2.79E-15,-3.20E-13,-1.26E-13,5.04E-13,2.27E-14,2.08E-13,2.07E-13,GP_from_Founders,GPs
SL18-FI-2-FG5,0.000950248,0.007462538,0.002686595,0.01770104,-0.00064252,0.062762227,0.102052956,-0.012387979,0.005008549,0.032699173,0.078221456,GP_from_Founders,GPs
SL18-FW-12-MG5,-0.00076234,0.00155718,0.001670701,0.002281133,-0.000889305,0.016038441,0.027296403,-0.009037656,0.001420061,0.000559862,0.03097375,GP_from_Founders,GPs
SL18-FI-1-FG4,7.37E-05,0.008443276,0.005416865,0.018649203,-0.000229924,0.062820925,0.106762838,-0.009373599,0.006123472,0.03752931,0.097647388,GP_from_Founders,GPs
SL18-FW-12-MG6,-0.00076234,0.00155718,0.001670701,0.002281133,-0.000889305,0.016038441,0.027296403,-0.009037656,0.001420061,0.000559862,0.03097375,GP_from_Founders,GPs
SL18-FI-2-FG7,0.000950248,0.007462538,0.002686595,0.01770104,-0.00064252,0.062762227,0.102052956,-0.012387979,0.005008549,0.032699173,0.078221456,GP_from_Founders,GPs
SL18-FW-21-MG5,-0.0004851,0.003866968,0.002150769,0.00870917,-8.36E-05,0.036058612,0.072235023,0.015462216,0.002957544,0.026184557,0.061392602,GP_from_Founders,GPs
SL18-FW-12-FG4,-0.00076234,0.00155718,0.001670701,0.002281133,-0.000889305,0.016038441,0.027296403,-0.009037656,0.001420061,0.000559862,0.03097375,GP_from_Founders,GPs
SL18-FW-21-MG4,-0.0004851,0.003866968,0.002150769,0.00870917,-8.36E-05,0.036058612,0.072235023,0.015462216,0.002957544,0.026184557,0.061392602,GP_from_Founders,GPs
SL18-FI-1-FG6,7.37E-05,0.008443276,0.005416865,0.018649203,-0.000229924,0.062820925,0.106762838,-0.009373599,0.006123472,0.03752931,0.097647388,GP_from_Founders,GPs
SL18-OI-6-FG6,-0.012458699,0.038601454,-0.016231983,0.03434459,0.005665701,0.127002357,0.16404144,0.120136003,-0.000822418,0.09396945,0.360336491,GP_from_Founders,GPs
SL18-CC-4-MG4,-0.000858787,-0.00208177,0.003274199,0.001050237,-0.000102273,0.002985467,-0.079720836,-0.060658379,-0.008217039,-0.03150719,-0.021544834,GP_from_Founders,GPs
SL18-FI-2-FG4,0.000950248,0.007462538,0.002686595,0.01770104,-0.00064252,0.062762227,0.102052956,-0.012387979,0.005008549,0.032699173,0.078221456,GP_from_Founders,GPs
SL18-FW-2-MG4,-0.000445089,0.008541905,0.002978283,0.016901634,0.000124297,0.06124138,0.097874993,-0.005651584,0.006853328,0.038748664,0.107228602,GP_from_Founders,GPs
SL18-JS-19-FG6,0.003418897,-0.021412509,0.002530901,-0.027525983,-0.000405181,-0.081569084,-0.009512441,0.060051435,0.014000657,-0.039686824,-0.136762895,GP_from_Founders,GPs
SL18-JS-9-MG4,0.000429767,-0.0272118,-0.000713095,-0.047155874,-0.001424122,-0.161244848,-0.233348638,-0.0751875,-0.043477617,-0.187005134,-0.43913968,GP_from_Founders,GPs
SL18-PI-1-MG5,-0.000564817,0.002424089,0.002004322,0.005695596,-0.000651486,0.02879623,0.072427428,0.004634501,0.004185142,0.024877977,0.043182248,GP_from_Founders,GPs
SL18-NL-5-MG5,0.001101696,-0.00397256,-0.002417285,-0.030238442,-0.000212117,-0.121220792,0.035344762,-0.037692703,0.051027337,-0.044221882,-0.221768331,GP_from_Founders,GPs
SA18-CB-10-FG6,0.00660538,0.034160467,-0.003375996,0.055302852,-0.001008494,0.159236346,0.067947731,-0.418991907,-0.00224562,-0.136924422,0.109039715,GP_from_Founders,GPs
SL18-TI-2-MG5,-0.000495679,0.002657001,-0.000412888,0.00415729,0.000261622,0.018002151,0.025886352,0.002557973,-0.003339863,0.014477774,0.025075206,GP_from_Founders,GPs
SL18-LD-2-FG5,0.002934743,0.00027134,-0.020186291,-0.027200335,0.009138243,-0.144983682,-0.095766872,0.121488071,-0.025230029,0.076124109,0.130333894,GP_from_Founders,GPs
SL18-CC-9-FG6,-0.002403966,-0.000773727,0.002498541,0.002090147,0.000169121,0.008155037,0.002815357,0.001967794,-0.003453617,0.049349908,0.085949023,GP_from_Founders,GPs
SL18-LD-3-MG6,0.004497787,0.003879507,-0.00152935,-0.018479232,0.002155987,-0.028828991,-0.004190638,0.158124162,-0.028272781,0.077664956,0.26728332,GP_from_Founders,GPs
SL18-OI-15-FG4,0.005451266,0.007054428,0.024319402,0.057572068,0.001235782,0.202135007,0.161754323,0.099418871,-0.000723863,0.107117985,0.286834565,GP_from_Founders,GPs
SL18-OI-5-MG4,0.00197246,-0.01244654,0.000298129,-0.022666523,0.004187388,-0.107364624,-0.179304044,0.046288749,-0.062614437,-0.167354167,-0.272686239,GP_from_Founders,GPs
SL18-BL-13-MG3,-0.000796007,0.007338668,0.005238722,0.017256033,-2.32E-05,0.064635109,0.075533922,-0.039394406,0.011407373,0.039564073,0.115397208,GP_from_Founders,GPs
SL18-BL-16-MG3,-0.000671024,0.010423525,0.003713925,0.02265661,0.000837637,0.074436926,0.098604953,-0.007530595,0.008749565,0.04466846,0.127486656,GP_from_Founders,GPs
SL18-CB-7-MG3,3.78E-13,7.62E-15,2.53E-14,-3.66E-13,-5.78E-15,-9.08E-13,-9.65E-13,2.03E-13,-4.07E-14,-1.27E-13,-1.06E-13,GP_from_Founders,GPs
SL18-CB-10-MG3,2.42E-13,9.93E-15,1.22E-13,1.46E-14,-4.99E-16,1.98E-13,1.16E-13,-7.09E-13,3.86E-14,-1.40E-13,4.62E-13,GP_from_Founders,GPs
SL18-OI-4-MG2,-0.008104382,0.004110771,-0.003093141,0.003027296,0.004711457,0.000731112,0.048974032,0.13113592,-0.019746365,0.077882053,0.0275003,GP_from_Founders,GPs
SL18-OI-7-MG2,0.00081022,0.013264417,0.024224655,0.020364324,-0.001172538,0.079676122,0.084565215,0.022733271,0.027827807,0.076333027,0.139615446,GP_from_Founders,GPs
SL18-OD-10-MG1,-0.003533324,0.003815161,0.001081926,0.011094671,-0.000319385,0.043658884,0.04915586,0.067375657,0.012781118,0.084320344,0.190144351,GP_from_Founders,GPs
SL18-OD-10-MG2,-0.003533324,0.003815161,0.001081926,0.011094671,-0.000319385,0.043658884,0.04915586,0.067375657,0.012781118,0.084320344,0.190144351,GP_from_Founders,GPs
SL18-BL-11-FG2,-3.48E-05,0.008747441,0.003631135,0.016784531,-0.000180798,0.058309638,0.098691342,-0.011450451,0.010833402,0.042114913,0.114712987,GP_from_Founders,GPs
