"","wetWgtPerM","percDryWgt","dryWgtPerM","Ash","AshFDwPM","densityBlades","Indiv"
"grm4._15.1",0.00410742314072639,0.000926164809889386,-0.00284770757248409,0.00190597132032058,-0.0219461612333672,-0.0499534851606136,"SL18-OI-15-FG1xSL18-NL-5-MG1"
"grm4._16.1",0.58689104002174,0.00731434264460088,0.211613848325042,-0.00314751241518386,-0.00386100654708315,-0.172932075702261,"SL18-OI-15-FG1xSL18-SF-15-MG1"
"grm4._17.1",0.124627930130046,0.00152644333116187,0.00440715006689598,-0.0187382275014879,-0.0337792828300768,-0.0837795532560655,"SL18-OI-16-FG3xSA18-CB-4-MG3"
"grm4._18.1",-0.262499735505225,0.00740636622359103,-0.073336435813517,-0.0174324221397532,-0.0475449935558172,-0.176094979559393,"SL18-OI-16-FG3xSA18-CB-5-MG3"
"grm4._19.1",-0.212553890903578,-0.000318930241469533,-0.0580007918513216,0.00315876680180042,-0.0915894743401775,-0.109708549744303,"SL18-LD-13-FG2xSL18-LD-13-MG2"
"grm4._20.1",-0.0477905644796865,0.0066708570523201,-0.0506546417327011,0.0162347097402734,-0.0246952719703828,-0.0529556427882789,"SL18-OI-16-FG3xSL18-LD-3-MG2"
"grm4._21.1",-0.0317784986437885,0.00367971307148694,-0.0174635132309015,0.0663156001869495,-0.0469460454659986,-0.180333577449015,"SL18-OI-16-FG3xSL18-NL-6-MG1"
"grm4._22.1",0.23705163881158,0.0103095190527521,0.0562168761202039,0.0299462376994821,-0.00455082470612048,-0.0453632273137087,"SL18-OI-16-FG3xSL18-SF-17-MG2"
"grm4._23.1",0.200733191080806,-0.00153664752732932,0.0919314242664006,-0.0248964235755413,0.0336708333976798,-0.01795320089809,"SL18-OI-17-FG1xSL18-SF-13-MG2"
"grm4._24.1",0.0397097627881287,0.00623795966343639,-0.0100421848055051,0.0190102437517339,0.0575175250317704,0.191522982827084,"SL18-OI-17-FG2xSL18-SF-17-MG2"
"grm4._25.1",0.207668145814579,0.00992461189191591,0.0822182051088751,-0.00927923401914829,-0.00394347061958829,-0.0963626060072543,"SL18-OI-18-FG1xSL18-OI-9-MG3"
"grm4._26.1",0.147363539101182,0.0139798332333224,0.0969937189923705,0.0161521830315565,0.0182834261344333,-0.0426407495138178,"SL18-OI-18-FG2xSA18-CB-7-MG1"
"grm4._27.1",0.0221051429728302,-0.000412649163816271,0.0324192569593583,0.0148835201093882,-0.00834307384196858,0.049116990802348,"SL18-OI-18-FG2xSL18-LD-10-MG1"
"grm4._28.1",-0.156221203227841,-0.00523670560652387,-0.021446853409743,0.0201648967530356,-0.0035644869175341,0.299945801938165,"SL18-OI-18-FG2xSL18-LD-9-MG1"
"grm4._29.1",-0.230361134558314,0.00103268351230103,-0.0648859626046232,0.0411175565451696,-0.0584654524487701,-0.051364538787427,"SL18-OI-18-FG2xSL18-NL-2-MG2"
"grm4._30.1",-0.252487342687372,-0.0004009074406784,-0.0615703923088961,0.0309187371052513,-0.00868451602128073,0.181325619133017,"SL18-OI-18-FG2xSL18-LD-2-MG3"
