"","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter","Indiv"
"grm4._15",-0.0518804278379015,0.00397515217395482,-0.074633825913421,0.794241751408064,0.21515413288309,"SL18-OI-15-FG1xSL18-SF-15-MG1"
"grm4._16",-0.00683068622210697,-0.470896627964174,-0.00943475730358645,-0.24571098103626,-0.325281464973579,"SL18-OI-16-FG3xSA18-CB-4-MG3"
"grm4._17",0.0199137976591124,-0.112009548853618,-0.101669737620754,-0.663259130345727,-0.443028556016364,"SL18-OI-16-FG3xSA18-CB-5-MG3"
"grm4._18",-0.364920789763014,-0.0232019112735756,-0.0238366414603357,0.40920792674211,0.0882557522031771,"SL18-LD-13-FG2xSL18-LD-13-MG2"
"grm4._19",-0.508258657037168,-0.195477536171192,-0.138940339476754,0.19674118599298,-0.160986962883916,"SL18-OI-16-FG3xSL18-LD-3-MG2"
"grm4._20",-0.166061319326278,-0.0202918793406617,-0.0933305099686244,-0.721446543261649,-0.296010455103688,"SL18-OI-16-FG3xSL18-NL-6-MG1"
"grm4._21",-0.36127832682445,-0.381347898617927,0.00168947748789799,0.439539472831404,-0.0223700466771609,"SL18-OI-16-FG3xSL18-SF-17-MG2"
"grm4._22",-0.148276004485229,0.185590055240319,-0.0431380328872007,0.281226659433954,0.160175320125539,"SL18-OI-17-FG1xSL18-SF-13-MG2"
"grm4._23",0.0866548472611192,0.25019807148841,-0.139613371172707,0.320970718262674,0.197772188882585,"SL18-OI-17-FG2xSL18-SF-17-MG2"
"grm4._24",-0.322449998137978,-0.247630871191827,0.0153782051387167,-0.284668430196696,-0.0993910183921153,"SL18-OI-18-FG1xSL18-OI-9-MG3"
"grm4._25",0.358703374546216,-0.202788284134001,0.110527199117351,-0.150924894502723,-0.0562789534967006,"SL18-OI-18-FG2xSA18-CB-7-MG1"
"grm4._26",-0.268413234705976,0.0819141866423682,-0.0493375096800494,0.27786847345517,0.170746020230805,"SL18-OI-18-FG2xSL18-LD-10-MG1"
"grm4._27",-0.226266617284384,0.269118722908746,-0.00103348846949572,-0.324776195109017,-0.000985275089648123,"SL18-OI-18-FG2xSL18-LD-9-MG1"
"grm4._28",-0.494974221222215,-0.340573295124215,-0.0421901442165133,-0.847677093103149,-0.333829529704071,"SL18-OI-18-FG2xSL18-NL-2-MG2"
"grm4._29",-0.369222199019061,0.154504792314823,-0.0896139189107134,-0.373701297165891,-0.101813939057075,"SL18-OI-18-FG2xSL18-LD-2-MG3"
"grm4._30",-0.0900629231453404,0.520734624263084,-0.13516084679619,-0.194630187509645,0.010277202197129,"SL18-OI-18-FG3xSL18-LL-9-MG1"
"grm4._31",-0.0929801551953233,0.119872722005054,-0.0297902005159889,-0.297978265987075,-0.0260681859893307,"SL18-OI-18-FG3xSL18-OI-7-MG1"
"grm4._32",0.41009820882982,-0.0477026920635724,-0.0141726340683269,-0.377834716908316,-0.207381490325365,"SL18-OI-18-FG5xSA18-CB-4-MG3"
"grm4._33",-0.279552793686127,0.137819829089,-0.0999452324260046,-0.280341987457611,-0.121747398429328,"SL18-OI-18-FG5xSL18-LD-2-MG1"
