Accession	Female_Parent	Male_Parent	Cross_Type
SL18-BL-S10-FG16	SL18-BL-S10	SL18-BL-S10	self
SL18-BL-S10-FG2	SL18-BL-S10	SL18-BL-S10	self
SL18-BL-S10-FG3	SL18-BL-S10	SL18-BL-S10	self
SL18-BL-S10-MG1	SL18-BL-S10	SL18-BL-S10	self
SL18-BL-S10-MG14	SL18-BL-S10	SL18-BL-S10	self
SL18-BL-S10-MG16	SL18-BL-S10	SL18-BL-S10	self
SL18-BL-S10-MG2	SL18-BL-S10	SL18-BL-S10	self
SL18-BL-S11			
SL18-BL-S11-FG1	SL18-BL-S11	SL18-BL-S11	self
SL18-BL-S11-FG2	SL18-BL-S11	SL18-BL-S11	self
SL18-BL-S11-FG3	SL18-BL-S11	SL18-BL-S11	self
SL18-BL-S11-MG1	SL18-BL-S11	SL18-BL-S11	self
SL18-BL-S11-MG2	SL18-BL-S11	SL18-BL-S11	self
SL18-BL-S11-MG3	SL18-BL-S11	SL18-BL-S11	self
SL18-BL-S11-MG4	SL18-BL-S11	SL18-BL-S11	self
SL18-BL-S12			
SL18-BL-S12-FG1	SL18-BL-S12	SL18-BL-S12	self
SL18-BL-S12-FG14	SL18-BL-S12	SL18-BL-S12	self
SL18-BL-S12-FG15	SL18-BL-S12	SL18-BL-S12	self
SL18-BL-S12-FG16	SL18-BL-S12	SL18-BL-S12	self
SL18-BL-S12-FG2	SL18-BL-S12	SL18-BL-S12	self
SL18-BL-S12-MG1	SL18-BL-S12	SL18-BL-S12	self
SL18-BL-S12-MG2	SL18-BL-S12	SL18-BL-S12	self
SL18-BL-S12-MG3	SL18-BL-S12	SL18-BL-S12	self
SL18-BL-S13			
SL18-BL-S13-FG1	SL18-BL-S13	SL18-BL-S13	self
SL18-BL-S13-FG2	SL18-BL-S13	SL18-BL-S13	self
SL18-BL-S13-FG3	SL18-BL-S13	SL18-BL-S13	self
SL18-BL-S13-MG1	SL18-BL-S13	SL18-BL-S13	self
SL18-BL-S13-MG2	SL18-BL-S13	SL18-BL-S13	self
SL18-BL-S13-MG3	SL18-BL-S13	SL18-BL-S13	self
SL18-BL-S14			
SL18-BL-S14-FG1	SL18-BL-S14	SL18-BL-S14	self
SL18-BL-S14-FG2	SL18-BL-S14	SL18-BL-S14	self
SL18-BL-S14-FG3	SL18-BL-S14	SL18-BL-S14	self
SL18-BL-S14-MG1	SL18-BL-S14	SL18-BL-S14	self
SL18-BL-S14-MG2	SL18-BL-S14	SL18-BL-S14	self
SL18-BL-S15			
SL18-BL-S15-FG1	SL18-BL-S15	SL18-BL-S15	self
SL18-BL-S15-FG14	SL18-BL-S15	SL18-BL-S15	self
SL18-BL-S15-FG15	SL18-BL-S15	SL18-BL-S15	self
SL18-BL-S15-FG16	SL18-BL-S15	SL18-BL-S15	self
SL18-BL-S15-FG2	SL18-BL-S15	SL18-BL-S15	self
SL18-BL-S15-FG3	SL18-BL-S15	SL18-BL-S15	self
SL18-BL-S15-MG1	SL18-BL-S15	SL18-BL-S15	self
SL18-BL-S15-MG2	SL18-BL-S15	SL18-BL-S15	self
SL18-BL-S15-MG3	SL18-BL-S15	SL18-BL-S15	self
SL18-BL-S16			
SL18-BL-S16-FG1	SL18-BL-S16	SL18-BL-S16	self
SL18-BL-S16-FG2	SL18-BL-S16	SL18-BL-S16	self
SL18-BL-S16-FG3	SL18-BL-S16	SL18-BL-S16	self
SL18-BL-S16-MG1	SL18-BL-S16	SL18-BL-S16	self
SL18-BL-S16-MG2	SL18-BL-S16	SL18-BL-S16	self
